config_id,num_runs,batch_size,lr,sequence_length,num_epochs,dataset_size,val_size,include_mixed,probs,best_epoch_mean,best_epoch_std,train_wall_time_sec_mean,train_wall_time_sec_std,avg_epoch_time_sec_mean,avg_epoch_time_sec_std,main_val_loss_mean,main_val_loss_std,main_val_acc_mean,main_val_acc_std,main_val_auc_mean,main_val_auc_std,main_val_pred_irregular_rate_mean,main_val_pred_irregular_rate_std,small_val_loss_mean,small_val_loss_std,small_val_acc_mean,small_val_acc_std,small_val_auc_mean,small_val_auc_std,small_val_pred_irregular_rate_mean,small_val_pred_irregular_rate_std
bs256_lr0p003_len1000,3,256,0.003,1000,30,25600,2000,True,"(0.6, 0.1, 0.3)",26.333333333333332,3.7859388972001824,,,,,0.14184637759204421,0.022901663823346977,0.9473333333333334,0.017009801096230716,0.978373560805133,0.0031724845126656193,0.2105,0.027404379212089436,0.08535925225857259,0.024793435529137015,0.9633333333333333,0.012701705922171777,0.9994433775848153,0.0003926062725687114,0.13733333333333334,0.012701705922171763
bs64_lr0p001_len1000,3,64,0.001,1000,30,25600,2000,True,"(0.6, 0.1, 0.3)",28.0,2.6457513110645907,,,,,0.14497438562400922,0.03939606504060326,0.9478333333333334,0.01576652572170965,0.9762577050928419,0.010651706254560593,0.19333333333333336,0.017265090018106864,0.098209822823992,0.04720775013493415,0.9546666666666667,0.029005746557076096,0.9993691612627907,0.00013728765863234635,0.12866666666666668,0.02900574655707612
bs128_lr0p001_len2048,3,128,0.001,2048,30,25600,2000,True,"(0.6, 0.1, 0.3)",27.666666666666668,2.5166114784235836,,,,,0.333397307757698,0.2371481476803765,0.8893333333333334,0.09075286955977391,0.8119875739226471,0.28314391248398785,0.1115,0.09876613792186066,0.24976866000112694,0.29519794236238317,0.916,0.0890617763128493,0.8264954279624206,0.3005187341145818,0.09799999999999999,0.08906177631284927
bs256_lr0p001_len2048,3,256,0.001,2048,30,25600,2000,True,"(0.6, 0.1, 0.3)",28.0,2.6457513110645907,,,,,0.32506819703015205,0.24266029029828706,0.8869999999999999,0.08812349289491424,0.8075914113469812,0.28912410759456136,0.1145,0.10196445459080336,0.24384684997137326,0.3035853081783586,0.9173333333333332,0.08672562097404282,0.8113105313594312,0.32509847460582725,0.10200000000000002,0.08959910713840848
bs512_lr0p003_len2048,3,512,0.003,2048,30,25600,2000,True,"(0.6, 0.1, 0.3)",24.666666666666668,4.163331998932266,,,,,0.36334815204501864,0.22543621920549625,0.8788333333333332,0.0844605430561119,0.7918360018932903,0.30237591893048704,0.102,0.09596483731033989,0.31233578901177195,0.2757198143889266,0.8906666666666667,0.08764321612842225,0.8145167790644563,0.3197080596007018,0.074,0.08986656775464387
