run_id,seed,batch_size,lr,sequence_length,num_epochs,dataset_size,val_size,include_mixed,probs,best_epoch,checkpoint_path,scheduler_name,warmup_frac,min_lr_ratio,main_val_loss,main_val_acc,main_val_auc,main_val_tn,main_val_fp,main_val_fn,main_val_tp,main_val_pred_irregular_rate,small_val_loss,small_val_acc,small_val_auc,small_val_tn,small_val_fp,small_val_fn,small_val_tp,small_val_pred_irregular_rate,exp_name
winner_sched_moredata_confirm_seed101,101,256,0.003,1000,30,51200,2000,True,"(0.6, 0.1, 0.3)",22,finetune_final_confirm/models/winner_sched_moredata_confirm_seed101.pth,warmup_cosine,0.05,0.1,0.10812730281705808,0.965,0.9877099348773442,1556,15,55,374,0.1945,0.07661637279158458,0.966,0.9996938576716484,413,0,17,70,0.14,winner_sched_moredata_confirm
winner_sched_moredata_confirm_seed202,202,256,0.003,1000,30,51200,2000,True,"(0.6, 0.1, 0.3)",24,finetune_final_confirm/models/winner_sched_moredata_confirm_seed202.pth,warmup_cosine,0.05,0.1,0.1344751415399369,0.9595,0.9770178898122883,1552,19,62,367,0.193,0.03276450994494371,0.986,1.0,413,0,7,80,0.16,winner_sched_moredata_confirm
winner_sched_moredata_confirm_seed303,303,256,0.003,1000,30,51200,2000,True,"(0.6, 0.1, 0.3)",14,finetune_final_confirm/models/winner_sched_moredata_confirm_seed303.pth,warmup_cosine,0.05,0.1,0.10661219781955879,0.9655,0.9874295023881274,1556,15,54,375,0.195,0.05239474186673761,0.976,1.0,413,0,12,75,0.15,winner_sched_moredata_confirm
winner_sched_moredata_confirm_seed404,404,256,0.003,1000,30,51200,2000,True,"(0.6, 0.1, 0.3)",15,finetune_final_confirm/models/winner_sched_moredata_confirm_seed404.pth,warmup_cosine,0.05,0.1,0.13606478550822795,0.9465,0.9813801729778815,1541,30,77,352,0.191,0.09834356682759245,0.962,0.9967994211126883,413,0,19,68,0.136,winner_sched_moredata_confirm
winner_sched_moredata_confirm_seed505,505,256,0.003,1000,30,51200,2000,True,"(0.6, 0.1, 0.3)",21,finetune_final_confirm/models/winner_sched_moredata_confirm_seed505.pth,warmup_cosine,0.05,0.1,0.20408411870561394,0.938,0.9781411035389393,1563,8,116,313,0.1605,0.08193182480987161,0.962,0.9999443377584815,413,0,19,68,0.136,winner_sched_moredata_confirm
